nitrogen,phosphorus,potassium,crop_type,soil_type,crop_type_enc,soil_type_enc,n_deficiency,p_deficiency,k_deficiency,recommended_fertilizer,quantity_kg_per_acre
120.0,46.7,102.4,Millets,Saline,6,3,3,3,3,NPK_Complex,39.3
64.4,61.1,9.4,Millets,Clayey,6,1,2,3,1,MOP,15.6
78.4,17.1,80.7,Barley,Sandy,5,2,3,1,3,SSP,90.8
128.3,13.1,12.5,Cotton,Saline,3,3,3,1,1,SSP,81.3
131.1,74.0,146.5,Millets,Sandy,6,2,3,3,3,Organic_Compost,414.4
85.8,46.2,112.9,Maize,Loamy,2,0,3,3,3,DAP,30.8
168.8,71.1,64.3,Sugarcane,Clayey,4,1,3,3,3,DAP,57.5
55.6,13.9,31.5,Millets,Clayey,6,1,2,1,2,SSP,97.4
108.2,67.4,68.2,Wheat,Saline,0,3,3,3,3,Urea,56.8
77.6,77.0,7.1,Cotton,Clayey,3,1,3,3,1,MOP,16.7
17.7,86.3,107.0,Sugarcane,Sandy,4,2,1,3,3,Urea,59.0
103.4,50.0,30.1,Rice,Clayey,1,1,3,3,2,DAP,49.5
190.3,89.2,42.8,Rice,Clayey,1,1,3,3,2,DAP,48.8
172.7,67.6,28.6,Rice,Saline,1,3,3,3,1,MOP,16.1
15.0,60.6,141.3,Millets,Clayey,6,1,1,3,3,Urea,63.0
132.2,48.5,84.1,Rice,Sandy,1,2,3,3,3,Urea,65.0
133.8,24.6,44.7,Wheat,Loamy,0,0,3,2,2,Organic_Compost,230.2
27.9,69.9,15.3,Rice,Loamy,1,0,1,3,1,Urea,52.8
14.4,82.4,45.9,Rice,Clayey,1,1,1,3,2,Urea,44.7
129.5,88.4,111.6,Sugarcane,Clayey,4,1,3,3,3,Urea,78.7
90.5,59.0,88.5,Cotton,Clayey,3,1,3,3,3,NPK_Complex,38.3
157.5,37.4,140.0,Rice,Loamy,1,0,3,2,3,Urea,49.5
150.6,27.6,59.8,Millets,Loamy,6,0,3,2,2,Urea,60.2
70.8,90.1,61.4,Pulses,Loamy,7,0,3,3,3,Organic_Compost,487.6
77.4,95.9,103.1,Maize,Saline,2,3,3,3,3,Organic_Compost,372.0
95.2,32.9,52.7,Millets,Saline,6,3,3,2,2,NPK_Complex,34.3
158.4,15.8,140.0,Sugarcane,Sandy,4,2,3,1,3,SSP,99.0
20.6,75.0,84.2,Barley,Sandy,5,2,1,3,3,Urea,68.2
140.7,84.5,130.7,Millets,Saline,6,3,3,3,3,DAP,32.5
23.8,83.1,107.4,Sugarcane,Saline,4,3,1,3,3,Urea,43.3
197.5,40.6,58.7,Sugarcane,Clayey,4,1,3,3,2,Organic_Compost,271.0
122.5,38.3,107.7,Millets,Loamy,6,0,3,2,3,NPK_Complex,45.5
90.6,91.1,21.1,Barley,Sandy,5,2,3,3,1,MOP,22.4
99.0,10.3,22.2,Sugarcane,Clayey,4,1,3,1,1,SSP,64.7
151.7,60.4,144.5,Wheat,Sandy,0,2,3,3,3,NPK_Complex,39.6
110.4,46.5,121.3,Wheat,Saline,0,3,3,3,3,Urea,78.8
179.3,55.1,149.0,Sugarcane,Sandy,4,2,3,3,3,Urea,50.1
24.3,20.8,36.4,Maize,Saline,2,3,1,2,2,Urea,51.8
142.4,41.5,111.9,Wheat,Loamy,0,0,3,3,3,NPK_Complex,35.6
179.2,48.3,94.9,Pulses,Saline,7,3,3,3,3,Organic_Compost,250.9
83.8,26.8,43.6,Cotton,Clayey,3,1,3,2,2,Urea,79.0
142.7,55.9,49.9,Pulses,Sandy,7,2,3,3,2,Organic_Compost,380.8
35.3,12.2,141.4,Pulses,Loamy,7,0,1,1,3,DAP,42.5
184.6,12.9,132.1,Sugarcane,Sandy,4,2,3,1,3,SSP,82.1
88.1,78.9,74.7,Sugarcane,Sandy,4,2,3,3,3,NPK_Complex,33.0
82.4,97.1,127.1,Sugarcane,Clayey,4,1,3,3,3,Urea,42.5
35.4,6.3,15.9,Wheat,Sandy,0,2,1,1,1,DAP,50.8
152.5,91.8,89.8,Sugarcane,Sandy,4,2,3,3,3,Urea,77.8
57.0,47.8,23.7,Rice,Sandy,1,2,2,3,1,MOP,29.3
53.4,68.8,94.6,Sugarcane,Saline,4,3,2,3,3,NPK_Complex,37.2
137.6,54.4,117.0,Pulses,Sandy,7,2,3,3,3,NPK_Complex,36.2
193.9,13.4,119.8,Wheat,Clayey,0,1,3,1,3,SSP,83.6
89.9,79.5,97.7,Millets,Sandy,6,2,3,3,3,NPK_Complex,34.3
12.8,38.3,90.5,Barley,Saline,5,3,1,2,3,Urea,55.7
181.8,38.1,79.5,Maize,Sandy,2,2,3,2,3,Organic_Compost,473.1
109.5,71.3,120.5,Barley,Sandy,5,2,3,3,3,DAP,57.8
59.1,48.6,147.1,Rice,Loamy,1,0,2,3,3,NPK_Complex,39.9
130.3,27.8,16.0,Sugarcane,Clayey,4,1,3,2,1,MOP,16.9
38.9,18.2,97.9,Millets,Saline,6,3,1,1,3,DAP,35.5
180.4,50.0,101.8,Pulses,Loamy,7,0,3,3,3,DAP,48.1
166.1,37.8,55.4,Maize,Sandy,2,2,3,2,2,DAP,32.7
97.5,24.6,57.8,Wheat,Loamy,0,0,3,2,2,DAP,39.9
27.5,50.7,104.7,Maize,Loamy,2,0,1,3,3,Urea,60.5
81.7,5.2,130.9,Maize,Sandy,2,2,3,1,3,SSP,63.4
197.4,56.0,139.0,Maize,Loamy,2,0,3,3,3,DAP,48.5
97.9,76.0,10.3,Millets,Clayey,6,1,3,3,1,MOP,18.8
180.1,53.6,82.2,Millets,Sandy,6,2,3,3,3,Urea,74.7
85.5,15.0,111.9,Barley,Sandy,5,2,3,1,3,SSP,67.3
169.7,13.5,82.6,Millets,Loamy,6,0,3,1,3,SSP,69.3
100.1,38.7,99.1,Sugarcane,Saline,4,3,3,2,3,DAP,32.6
121.5,75.8,67.6,Millets,Clayey,6,1,3,3,3,NPK_Complex,37.6
180.9,62.7,40.4,Sugarcane,Clayey,4,1,3,3,2,NPK_Complex,49.7
55.1,14.7,27.2,Sugarcane,Loamy,4,0,2,1,1,SSP,69.8
45.4,32.1,30.1,Cotton,Clayey,3,1,2,2,2,NPK_Complex,47.9
109.7,44.0,147.4,Millets,Sandy,6,2,3,3,3,NPK_Complex,47.9
184.3,5.5,146.4,Cotton,Saline,3,3,3,1,3,SSP,79.6
166.0,73.3,82.6,Barley,Sandy,5,2,3,3,3,DAP,38.4
45.5,35.7,66.7,Cotton,Loamy,3,0,2,2,3,NPK_Complex,40.2
31.8,63.0,46.9,Wheat,Saline,0,3,1,3,2,Urea,63.2
101.4,55.6,12.5,Maize,Sandy,2,2,3,3,1,MOP,20.0
22.0,99.0,51.7,Rice,Loamy,1,0,1,3,2,Urea,72.4
139.5,77.2,91.4,Wheat,Sandy,0,2,3,3,3,Organic_Compost,381.8
30.3,85.8,113.2,Maize,Clayey,2,1,1,3,3,Urea,56.3
198.3,24.5,60.0,Sugarcane,Saline,4,3,3,2,2,Urea,69.6
169.9,18.3,120.3,Barley,Saline,5,3,3,1,3,SSP,68.1
41.2,82.4,101.5,Barley,Sandy,5,2,2,3,3,NPK_Complex,40.5
176.7,42.3,123.4,Cotton,Loamy,3,0,3,3,3,NPK_Complex,44.3
128.6,56.3,68.6,Pulses,Sandy,7,2,3,3,3,Urea,49.3
82.9,56.6,136.4,Wheat,Sandy,0,2,3,3,3,NPK_Complex,40.9
73.2,74.4,105.6,Barley,Clayey,5,1,3,3,3,Organic_Compost,438.2
111.4,89.9,119.3,Sugarcane,Loamy,4,0,3,3,3,DAP,52.6
157.9,18.6,34.7,Sugarcane,Loamy,4,0,3,1,2,SSP,88.6
153.4,14.8,82.8,Sugarcane,Sandy,4,2,3,1,3,SSP,75.2
124.8,52.7,83.3,Sugarcane,Saline,4,3,3,3,3,Urea,49.2
146.8,65.9,105.6,Cotton,Loamy,3,0,3,3,3,Organic_Compost,414.9
167.1,96.1,54.7,Maize,Loamy,2,0,3,3,2,DAP,42.0
190.0,19.6,90.0,Millets,Clayey,6,1,3,1,3,SSP,80.2
13.4,87.9,140.2,Wheat,Loamy,0,0,1,3,3,Urea,62.6
185.3,72.2,27.1,Cotton,Loamy,3,0,3,3,1,MOP,23.6
90.6,75.0,140.5,Rice,Loamy,1,0,3,3,3,DAP,57.3
54.8,20.7,32.0,Wheat,Clayey,0,1,2,2,2,NPK_Complex,46.7
69.2,26.6,93.1,Wheat,Sandy,0,2,2,2,3,NPK_Complex,37.6
49.1,79.8,92.5,Sugarcane,Loamy,4,0,2,3,3,NPK_Complex,32.3
174.1,92.7,72.5,Cotton,Loamy,3,0,3,3,3,NPK_Complex,44.8
52.7,48.0,25.4,Wheat,Saline,0,3,2,3,1,MOP,17.6
89.6,91.9,57.5,Millets,Saline,6,3,3,3,2,NPK_Complex,35.6
50.4,53.9,146.5,Rice,Saline,1,3,2,3,3,NPK_Complex,39.2
173.5,55.8,31.7,Cotton,Clayey,3,1,3,3,2,NPK_Complex,41.9
152.5,24.9,135.2,Sugarcane,Clayey,4,1,3,2,3,Organic_Compost,340.5
81.8,84.5,90.2,Wheat,Loamy,0,0,3,3,3,Urea,71.0
109.6,46.9,63.1,Millets,Clayey,6,1,3,3,3,DAP,53.0
73.5,12.2,114.2,Cotton,Loamy,3,0,3,1,3,SSP,70.9
110.0,81.1,146.9,Maize,Clayey,2,1,3,3,3,Organic_Compost,414.8
15.1,26.1,38.5,Sugarcane,Saline,4,3,1,2,2,Urea,66.9
29.8,81.0,30.9,Sugarcane,Saline,4,3,1,3,2,Urea,66.1
28.9,28.1,109.7,Millets,Saline,6,3,1,2,3,Urea,74.2
85.5,68.5,34.7,Maize,Saline,2,3,3,3,2,NPK_Complex,36.5
130.3,74.9,128.0,Rice,Sandy,1,2,3,3,3,Organic_Compost,254.4
90.1,89.8,123.5,Cotton,Loamy,3,0,3,3,3,Organic_Compost,300.8
79.0,8.3,125.4,Millets,Clayey,6,1,3,1,3,SSP,73.8
78.9,86.8,36.8,Pulses,Clayey,7,1,3,3,2,DAP,52.9
175.0,51.3,134.7,Pulses,Loamy,7,0,3,3,3,Organic_Compost,254.6
107.4,75.5,106.3,Rice,Sandy,1,2,3,3,3,Urea,50.3
168.6,98.5,81.2,Barley,Clayey,5,1,3,3,3,Urea,67.6
166.3,55.3,123.2,Sugarcane,Sandy,4,2,3,3,3,Urea,51.0
133.8,83.8,34.9,Wheat,Loamy,0,0,3,3,2,DAP,34.2
60.6,74.6,41.4,Maize,Loamy,2,0,2,3,2,NPK_Complex,42.7
118.9,84.6,63.6,Sugarcane,Sandy,4,2,3,3,3,DAP,45.6
41.6,75.1,17.0,Pulses,Clayey,7,1,2,3,1,MOP,24.0
84.0,32.4,56.6,Rice,Loamy,1,0,3,2,2,Urea,68.9
190.4,42.7,143.3,Pulses,Sandy,7,2,3,3,3,DAP,52.0
15.9,29.9,91.3,Wheat,Clayey,0,1,1,2,3,Urea,42.1
123.4,36.8,116.8,Barley,Sandy,5,2,3,2,3,Urea,53.8
88.4,72.0,91.8,Pulses,Loamy,7,0,3,3,3,Urea,49.9
161.9,71.0,44.5,Maize,Clayey,2,1,3,3,2,DAP,33.1
163.4,96.4,119.6,Sugarcane,Saline,4,3,3,3,3,Urea,57.8
113.0,87.9,111.2,Millets,Saline,6,3,3,3,3,Urea,70.4
131.1,98.2,136.0,Sugarcane,Clayey,4,1,3,3,3,Organic_Compost,266.4
189.4,8.7,107.3,Rice,Loamy,1,0,3,1,3,SSP,97.0
117.9,92.0,9.9,Millets,Clayey,6,1,3,3,1,MOP,25.5
185.6,97.3,141.9,Wheat,Sandy,0,2,3,3,3,DAP,52.4
96.5,54.6,98.5,Cotton,Sandy,3,2,3,3,3,DAP,47.9
32.9,12.3,106.0,Maize,Saline,2,3,1,1,3,DAP,40.2
22.4,35.0,83.2,Millets,Sandy,6,2,1,2,3,Urea,71.6
128.9,89.2,94.3,Wheat,Loamy,0,0,3,3,3,DAP,42.5
198.2,5.0,31.9,Maize,Clayey,2,1,3,1,2,SSP,75.4
23.3,5.9,12.6,Pulses,Sandy,7,2,1,1,1,DAP,32.7
101.2,60.2,44.4,Barley,Loamy,5,0,3,3,2,Urea,70.7
90.1,75.1,39.6,Wheat,Sandy,0,2,3,3,2,NPK_Complex,39.3
172.0,73.0,90.4,Pulses,Clayey,7,1,3,3,3,Organic_Compost,205.4
91.3,41.5,103.5,Barley,Sandy,5,2,3,3,3,Organic_Compost,486.9
59.2,60.9,147.4,Sugarcane,Loamy,4,0,2,3,3,NPK_Complex,47.7
181.7,99.0,112.8,Pulses,Sandy,7,2,3,3,3,Organic_Compost,269.5
133.4,62.7,79.3,Cotton,Loamy,3,0,3,3,3,DAP,31.4
17.0,95.9,124.8,Wheat,Clayey,0,1,1,3,3,Urea,72.0
51.1,54.2,91.6,Barley,Sandy,5,2,2,3,3,NPK_Complex,40.5
107.9,51.7,149.5,Maize,Clayey,2,1,3,3,3,NPK_Complex,46.3
52.5,56.0,91.0,Barley,Loamy,5,0,2,3,3,NPK_Complex,41.6
176.7,30.2,23.8,Rice,Sandy,1,2,3,2,1,MOP,28.3
173.8,81.9,100.0,Wheat,Clayey,0,1,3,3,3,Urea,69.4
58.0,5.5,105.9,Rice,Saline,1,3,2,1,3,SSP,62.0
192.8,15.4,134.7,Rice,Clayey,1,1,3,1,3,SSP,99.7
177.8,54.0,136.4,Rice,Saline,1,3,3,3,3,NPK_Complex,37.0
117.5,30.4,132.4,Rice,Saline,1,3,3,2,3,NPK_Complex,47.4
39.9,20.2,53.4,Cotton,Loamy,3,0,1,2,2,Urea,49.5
30.1,71.4,32.4,Sugarcane,Clayey,4,1,1,3,2,Urea,75.3
98.4,88.5,5.7,Sugarcane,Clayey,4,1,3,3,1,MOP,27.3
182.7,5.1,85.6,Sugarcane,Clayey,4,1,3,1,3,SSP,90.3
46.7,13.0,52.3,Cotton,Sandy,3,2,2,1,2,SSP,82.4
81.6,5.9,123.7,Pulses,Sandy,7,2,3,1,3,SSP,65.1
13.5,46.1,126.8,Maize,Clayey,2,1,1,3,3,Urea,55.7
153.2,79.9,30.2,Millets,Clayey,6,1,3,3,2,Organic_Compost,220.4
144.6,11.4,89.4,Maize,Saline,2,3,3,1,3,SSP,73.8
18.7,87.8,146.2,Rice,Saline,1,3,1,3,3,Urea,78.8
34.7,77.0,8.6,Cotton,Sandy,3,2,1,3,1,Urea,40.9
102.8,78.2,104.1,Barley,Sandy,5,2,3,3,3,DAP,34.8
189.4,14.7,128.9,Rice,Loamy,1,0,3,1,3,SSP,81.1
66.7,84.8,117.1,Sugarcane,Loamy,4,0,2,3,3,NPK_Complex,34.6
174.9,96.5,9.5,Maize,Sandy,2,2,3,3,1,MOP,26.0
172.9,96.6,115.2,Millets,Saline,6,3,3,3,3,Urea,79.4
179.9,26.8,35.9,Wheat,Clayey,0,1,3,2,2,Organic_Compost,460.4
116.9,49.8,83.8,Pulses,Saline,7,3,3,3,3,Organic_Compost,255.7
157.6,78.2,127.5,Wheat,Loamy,0,0,3,3,3,Organic_Compost,205.4
65.9,91.6,145.3,Sugarcane,Saline,4,3,2,3,3,NPK_Complex,33.7
10.2,61.8,93.1,Millets,Loamy,6,0,1,3,3,Urea,49.9
52.9,20.3,99.5,Wheat,Clayey,0,1,2,2,3,NPK_Complex,36.5
92.3,98.5,26.7,Rice,Saline,1,3,3,3,1,MOP,22.0
85.2,97.6,109.7,Barley,Saline,5,3,3,3,3,NPK_Complex,43.9
158.2,8.8,74.7,Wheat,Saline,0,3,3,1,3,SSP,64.2
197.5,18.5,77.3,Wheat,Saline,0,3,3,1,3,SSP,84.7
116.3,5.9,52.3,Cotton,Loamy,3,0,3,1,2,SSP,80.7
76.6,8.2,16.4,Wheat,Loamy,0,0,3,1,1,SSP,75.9
117.8,70.5,121.1,Rice,Clayey,1,1,3,3,3,DAP,31.2
190.8,16.8,135.0,Cotton,Loamy,3,0,3,1,3,SSP,83.8
126.5,33.4,140.6,Wheat,Sandy,0,2,3,2,3,Organic_Compost,414.2
74.5,82.4,16.6,Barley,Saline,5,3,3,3,1,MOP,28.4
165.3,48.0,98.3,Cotton,Clayey,3,1,3,3,3,Urea,46.6
147.7,61.4,99.3,Barley,Sandy,5,2,3,3,3,Urea,74.9
195.4,37.0,31.4,Rice,Sandy,1,2,3,2,2,NPK_Complex,38.7
40.7,7.0,99.7,Pulses,Sandy,7,2,2,1,3,SSP,73.3
103.7,12.7,63.5,Pulses,Loamy,7,0,3,1,3,SSP,68.8
48.7,84.8,30.3,Barley,Sandy,5,2,2,3,2,NPK_Complex,49.2
170.8,64.7,111.6,Rice,Loamy,1,0,3,3,3,DAP,59.6
174.7,60.0,68.6,Pulses,Clayey,7,1,3,3,3,Urea,55.8
123.6,80.3,100.0,Cotton,Clayey,3,1,3,3,3,NPK_Complex,41.8
50.0,64.2,96.6,Barley,Loamy,5,0,2,3,3,NPK_Complex,44.7
146.0,91.4,31.1,Maize,Clayey,2,1,3,3,2,Organic_Compost,311.9
88.5,11.6,68.4,Rice,Sandy,1,2,3,1,3,SSP,63.9
122.7,60.0,101.1,Sugarcane,Sandy,4,2,3,3,3,NPK_Complex,33.3
194.2,29.5,100.2,Maize,Loamy,2,0,3,2,3,NPK_Complex,41.8
85.4,27.5,39.0,Cotton,Saline,3,3,3,2,2,DAP,32.2
108.8,37.0,125.2,Barley,Saline,5,3,3,2,3,Urea,58.0
190.2,29.0,57.1,Pulses,Sandy,7,2,3,2,2,Organic_Compost,211.0
136.1,50.1,127.4,Sugarcane,Sandy,4,2,3,3,3,Organic_Compost,333.9
116.0,56.3,10.0,Millets,Sandy,6,2,3,3,1,MOP,29.8
53.9,9.9,97.8,Wheat,Sandy,0,2,2,1,3,SSP,69.0
26.8,14.8,89.8,Sugarcane,Loamy,4,0,1,1,3,DAP,50.6
101.2,70.2,7.5,Cotton,Loamy,3,0,3,3,1,MOP,19.8
120.2,29.2,80.7,Sugarcane,Loamy,4,0,3,2,3,NPK_Complex,43.3
15.7,34.3,107.2,Cotton,Sandy,3,2,1,2,3,Urea,48.1
194.3,13.9,102.5,Millets,Saline,6,3,3,1,3,SSP,77.8
43.7,70.8,126.5,Sugarcane,Sandy,4,2,2,3,3,NPK_Complex,48.9
104.5,63.7,131.0,Rice,Clayey,1,1,3,3,3,Organic_Compost,430.6
161.1,92.3,92.1,Maize,Saline,2,3,3,3,3,NPK_Complex,43.2
133.7,15.1,100.4,Sugarcane,Saline,4,3,3,1,3,SSP,100.0
195.7,43.7,131.3,Barley,Sandy,5,2,3,3,3,Urea,43.6
30.7,66.8,116.0,Millets,Loamy,6,0,1,3,3,Urea,77.0
181.3,88.4,51.0,Maize,Clayey,2,1,3,3,2,Urea,72.7
113.5,5.5,52.1,Pulses,Clayey,7,1,3,1,2,SSP,74.7
142.1,41.9,70.1,Millets,Sandy,6,2,3,3,3,Urea,61.8
12.8,60.8,29.4,Maize,Saline,2,3,1,3,1,Urea,65.7
105.1,56.5,143.0,Rice,Clayey,1,1,3,3,3,DAP,44.4
74.8,41.1,62.8,Sugarcane,Loamy,4,0,3,3,3,Urea,49.8
84.9,57.2,113.3,Cotton,Sandy,3,2,3,3,3,Organic_Compost,486.7
47.2,5.7,98.9,Sugarcane,Loamy,4,0,2,1,3,SSP,95.9
186.1,10.7,140.5,Wheat,Saline,0,3,3,1,3,SSP,74.1
102.3,29.4,46.3,Rice,Clayey,1,1,3,2,2,NPK_Complex,48.6
120.4,13.5,109.1,Cotton,Sandy,3,2,3,1,3,SSP,76.0
166.4,54.6,22.9,Sugarcane,Saline,4,3,3,3,1,MOP,27.9
45.1,33.1,120.0,Millets,Loamy,6,0,2,2,3,NPK_Complex,33.7
90.7,13.3,123.3,Pulses,Saline,7,3,3,1,3,SSP,74.9
31.3,5.2,97.5,Sugarcane,Clayey,4,1,1,1,3,DAP,45.5
160.8,66.4,30.3,Cotton,Loamy,3,0,3,3,2,Urea,73.6
77.2,27.5,118.2,Pulses,Saline,7,3,3,2,3,DAP,52.0
137.6,81.9,116.2,Cotton,Saline,3,3,3,3,3,DAP,43.6
41.9,75.0,130.1,Rice,Loamy,1,0,2,3,3,NPK_Complex,34.3
14.5,66.0,93.0,Wheat,Clayey,0,1,1,3,3,Urea,61.9
84.3,61.5,77.0,Rice,Loamy,1,0,3,3,3,DAP,38.2
138.4,47.1,69.6,Millets,Loamy,6,0,3,3,3,Urea,67.7
34.4,14.9,110.0,Millets,Saline,6,3,1,1,3,DAP,47.4
25.1,13.1,134.7,Millets,Loamy,6,0,1,1,3,DAP,35.8
53.1,38.7,15.1,Pulses,Loamy,7,0,2,2,1,MOP,22.8
162.1,27.2,83.3,Rice,Saline,1,3,3,2,3,DAP,47.8
53.9,48.4,32.6,Maize,Clayey,2,1,2,3,2,NPK_Complex,31.0
79.0,99.6,69.7,Cotton,Clayey,3,1,3,3,3,Organic_Compost,218.0
191.9,21.7,105.1,Cotton,Clayey,3,1,3,2,3,Urea,46.8
90.3,83.1,5.2,Rice,Clayey,1,1,3,3,1,MOP,19.5
100.2,41.3,22.4,Pulses,Saline,7,3,3,3,1,MOP,29.6
150.1,78.0,40.3,Barley,Loamy,5,0,3,3,2,DAP,45.6
26.9,76.8,23.5,Barley,Clayey,5,1,1,3,1,Urea,73.0
144.7,8.4,49.0,Barley,Saline,5,3,3,1,2,SSP,70.5
26.7,94.0,85.3,Rice,Loamy,1,0,1,3,3,Urea,52.2
95.0,62.1,79.8,Cotton,Clayey,3,1,3,3,3,NPK_Complex,45.7
117.6,42.1,77.7,Millets,Clayey,6,1,3,3,3,Urea,44.7
82.3,88.4,130.9,Rice,Loamy,1,0,3,3,3,DAP,34.2
165.6,35.6,8.3,Millets,Saline,6,3,3,2,1,MOP,17.3
191.9,59.4,140.2,Maize,Clayey,2,1,3,3,3,DAP,34.0
185.3,51.3,92.9,Barley,Loamy,5,0,3,3,3,DAP,54.9
191.0,83.4,101.6,Cotton,Sandy,3,2,3,3,3,DAP,32.0
35.7,96.5,84.7,Rice,Saline,1,3,1,3,3,Urea,78.6
69.2,53.1,68.7,Pulses,Saline,7,3,2,3,3,NPK_Complex,32.1
51.0,63.9,99.3,Barley,Saline,5,3,2,3,3,NPK_Complex,33.0
158.3,48.7,13.4,Maize,Loamy,2,0,3,3,1,MOP,29.9
142.1,98.4,39.7,Sugarcane,Sandy,4,2,3,3,2,NPK_Complex,31.5
60.4,21.9,105.3,Cotton,Clayey,3,1,2,2,3,NPK_Complex,42.4
53.5,27.1,37.0,Cotton,Sandy,3,2,2,2,2,NPK_Complex,33.5
171.1,73.8,119.9,Cotton,Saline,3,3,3,3,3,NPK_Complex,39.0
79.9,44.3,125.0,Sugarcane,Sandy,4,2,3,3,3,Urea,55.5
57.2,17.7,65.7,Sugarcane,Clayey,4,1,2,1,3,SSP,91.6
139.4,23.0,94.7,Sugarcane,Clayey,4,1,3,2,3,Urea,40.5
195.4,81.1,144.1,Rice,Loamy,1,0,3,3,3,Organic_Compost,311.4
132.8,52.4,43.6,Wheat,Saline,0,3,3,3,2,Urea,59.5
71.7,75.0,74.0,Cotton,Clayey,3,1,3,3,3,Urea,64.6
